,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id,dependent_project_count,github_dependent_project_count
125,differentiable-plasticity,uber-research/differentiable-plasticity,https://github.com/uber-research/differentiable-plasticity,https://github.com/uber-research/differentiable-plasticity,,2018-03-28 15:42:06,2019-10-23 17:26:39,2019-10-23 17:26:33,48.0,,70.0,22.0,,3.0,5.0,410.0,,,,,,Implementations of the algorithms described in Differentiable plasticity: training plastic networks with gradient..,2.0,8,False,others,3.0,,,,
126,Awesome-Evolutionary-Reinforcement-Learning,yeshenpy/Awesome-Evolutionary-Reinforcement-Learning,https://github.com/yeshenpy/Awesome-Evolutionary-Reinforcement-Learning,https://github.com/yeshenpy/Awesome-Evolutionary-Reinforcement-Learning,,2023-05-25 16:31:42,2025-10-12 08:08:18,2025-10-12 08:08:18,102.0,,32.0,7.0,3.0,4.0,,352.0,,,,,,Research Papers and Code Repository on the Integration of Evolutionary Algorithms and Reinforcement Learning.,3.0,8,False,others,3.0,,,,
127,LLM4Opt,FeiLiu36/LLM4Opt,https://github.com/FeiLiu36/LLM4AlgorithmDesign,https://github.com/FeiLiu36/LLM4AlgorithmDesign,,2024-03-13 06:12:27,2026-01-04 08:07:03,2026-01-04 08:07:03,115.0,2.0,39.0,8.0,5.0,,5.0,349.0,,,,,,A Collection on Large Language Models for Optimization.,5.0,8,False,others,3.0,,FeiLiu36/LLM4AlgorithmDesign,,
128,OmniTokenizer,FoundationVision/OmniTokenizer,https://github.com/FoundationVision/OmniTokenizer,https://github.com/FoundationVision/OmniTokenizer,MIT,2024-06-13 15:08:47,2024-07-09 17:00:57,2024-07-09 17:00:51,15.0,,8.0,5.0,1.0,9.0,12.0,323.0,,,,,,[NeurIPS 2024]OmniTokenizer: one model and one weight for image-video joint tokenization.,3.0,8,False,others,3.0,,,,
129,NSGA-II,baopng/NSGA-II,https://github.com/baopng/NSGA-II,https://github.com/baopng/NSGA-II,,2018-05-01 10:18:39,2024-07-11 02:38:49,2024-07-11 02:38:49,13.0,,53.0,5.0,2.0,,8.0,257.0,,,,,,Implementation of NSGA-II algorithm in form of a python library.,4.0,8,False,others,3.0,,,6.0,6.0
130,EPG,openai/EPG,https://github.com/openai/EPG,https://github.com/openai/EPG,MIT,2018-02-23 00:54:49,2018-11-22 06:05:34,2018-11-22 06:05:33,3.0,,54.0,11.0,3.0,6.0,1.0,254.0,,,,,,Code for the paper Evolved Policy Gradients.,3.0,8,False,others,3.0,,,,
131,minimax,facebookresearch/minimax,https://github.com/facebookresearch/minimax,https://github.com/facebookresearch/minimax,Apache-2.0,2023-10-28 12:12:01,2024-08-24 17:24:37,2024-08-24 17:24:36,6.0,,18.0,5.0,6.0,3.0,2.0,209.0,2023-11-22 03:40:55,0.1.0,,,1.0,Efficient baselines for autocurricula in JAX.,3.0,8,False,others,3.0,,,,
132,evoxbench,EMI-Group/evoxbench,https://github.com/EMI-Group/evoxbench,https://github.com/EMI-Group/evoxbench,GPL-3.0,2022-08-10 07:40:11,2026-02-09 03:21:37,2026-02-09 03:21:36,111.0,2.0,20.0,4.0,6.0,,7.0,140.0,,,,,,Transforming Neural Architecture Search (NAS) into multi-objective optimization problems. A benchmark suite for..,7.0,8,False,others,3.0,,,9.0,9.0
133,GeneticAlgorithmForFeatureSelection,renatoosousa/GeneticAlgorithmForFeatureSelection,https://github.com/renatoosousa/GeneticAlgorithmForFeatureSelection,https://github.com/renatoosousa/GeneticAlgorithmForFeatureSelection,MIT,2018-05-17 02:16:56,2020-05-26 18:32:37,2018-05-24 15:53:19,15.0,,31.0,3.0,2.0,3.0,3.0,114.0,,,,,,Search the best feature subset for you classification mode.,,8,False,others,3.0,,,,
134,Pearl,09tangriro/Pearl,https://github.com/0xprofessooor/Pearl,https://github.com/0xprofessooor/Pearl,MIT,2021-09-08 12:44:21,2022-05-09 12:55:24,2022-05-09 12:54:45,609.0,,1.0,1.0,7.0,4.0,,56.0,2022-05-09 12:55:24,0.4.1,,,8.0,Adaptable tools to make reinforcement learning and evolutionary computation algorithms.,2.0,8,False,others,3.0,,0xprofessooor/Pearl,2.0,2.0
