,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
165,population-based-training,angusfung/population-based-training,https://github.com/angusfung/population-based-training,https://github.com/angusfung/population-based-training,,2018-03-20 02:34:02,2018-09-21 01:09:20,2018-09-21 01:09:19,83,,8.0,,,2.0,,55,,,,,,Reproducing results from DeepMinds paper on Population Based Training of Neural Networks.,,,,6,False,others,3.0,,
166,model-evolution,duguodong7/model-evolution,https://github.com/duguodong7/model-evolution,https://github.com/duguodong7/model-evolution,Apache-2.0,2024-06-04 03:20:41,2024-09-19 12:34:15,2024-09-19 12:34:15,9,,,,,,,40,,,,,,[ACL 2024] Knowledge Fusion by Evolving Weights of Language Models.,,,,6,False,others,3.0,,
167,Leniabreeder,maxencefaldor/Leniabreeder,https://github.com/maxencefaldor/Leniabreeder,https://github.com/maxencefaldor/Leniabreeder,MIT,2024-05-31 08:55:32,2025-04-02 04:48:39,2025-04-02 04:48:39,14,,4.0,1.0,,,,28,,,,,,Repository for Toward Artificial Open-Ended Evolution within Lenia using Quality-Diversity (ALIFE 2024).,,,,6,False,others,3.0,,
168,QDAC,adaptive-intelligent-robotics/QDAC,https://github.com/adaptive-intelligent-robotics/QDAC,https://github.com/adaptive-intelligent-robotics/QDAC,MIT,2024-05-21 04:50:10,2024-06-16 13:10:39,2024-06-16 13:10:32,3,,3.0,2.0,,,,23,,,,,,Repository for Quality-Diversity Actor-Critic: Learning High-Performing and Diverse Behaviors via Value and Successor..,,,,6,False,others,3.0,,
169,EvoSOPS,DaymudeLab/EvoSOPS,https://github.com/DaymudeLab/EvoSOPS,https://github.com/DaymudeLab/EvoSOPS,MIT,2022-10-22 02:45:49,2025-11-15 02:01:41,2024-06-05 11:36:16,52,,,3.0,9.0,2.0,5.0,8,,,,,,A genetic algorithm for discovering diverse and high performing distributed algorithms for collective behavior in..,,,,6,False,others,3.0,,
170,DenseFusion,baaivision/DenseFusion,https://github.com/baaivision/DenseFusion,https://github.com/baaivision/DenseFusion,,2024-07-05 04:12:23,2024-12-06 02:37:46,2024-12-06 02:37:46,9,,1.0,4.0,,4.0,4.0,159,,,,,,DenseFusion-1M: Merging Vision Experts for Comprehensive Multimodal Perception.,,,3.0,5,False,others,3.0,,
171,HebbianMetaLearning,enajx/HebbianMetaLearning,https://github.com/enajx/HebbianMetaLearning,https://github.com/enajx/HebbianMetaLearning,,2020-06-13 10:00:21,2021-07-28 17:53:31,2021-07-28 17:53:31,19,,26.0,1.0,,,7.0,147,,,,,,Meta-Learning through Hebbian Plasticity in Random Networks: https://arxiv.org/abs/2007.02686.,,,,5,False,others,3.0,,
172,Evocraft-py,real-itu/Evocraft-py,https://github.com/real-itu/Evocraft-py,https://github.com/real-itu/Evocraft-py,,2020-12-04 12:33:37,2022-07-08 09:02:56,2022-07-08 09:02:56,17,,15.0,7.0,2.0,2.0,4.0,126,,,,,,A Python interface for Minecraft built on gRPC.,,,4.0,5,False,others,3.0,,
173,PHUDGE,deshwalmahesh/PHUDGE,https://github.com/deshwalmahesh/PHUDGE,https://github.com/deshwalmahesh/PHUDGE,,2024-05-11 08:23:56,2024-07-10 19:26:39,2024-07-10 19:26:39,30,,7.0,1.0,,1.0,,53,,,,,,"Official repo for the paper PHUDGE: Phi-3 as Scalable Judge. Evaluate your LLMs with or without custom rubric,..",,,,5,False,others,3.0,,
174,MAZero,liuqh16/MAZero,https://github.com/liuqh16/MAZero,https://github.com/liuqh16/MAZero,GPL-3.0,2024-03-15 04:39:04,2024-05-08 21:14:53,2024-05-08 21:14:21,2,,3.0,3.0,,3.0,,45,,,,,,"Open-source codebase for MAZero, from Efficient Multi-agent Reinforcement Learning by Planning at ICLR 2024.",,,,5,False,others,3.0,,
175,curiousreplay,AutonomousAgentsLab/curiousreplay,https://github.com/AutonomousAgentsLab/curiousreplay,https://github.com/AutonomousAgentsLab/curiousreplay,MIT,2023-05-04 23:08:34,2023-07-05 15:06:05,2023-07-05 15:06:05,7,,2.0,5.0,,,1.0,43,,,,,,Implementations of Curious Replay for model-based adaptation.,,,,5,False,others,3.0,,
176,esac,karush17/esac,https://github.com/karush17/esac,https://github.com/karush17/esac,MIT,2020-03-19 04:50:48,2024-07-25 10:59:00,2023-10-20 17:07:14,1,,5.0,10.0,2.0,1.0,6.0,42,2020-06-29 03:04:28,1,10.0,0.0,1.0,Evolution-based Soft Actor-Critic (ESAC).,,,,5,False,others,3.0,,
177,choreographer,mazpie/choreographer,https://github.com/mazpie/choreographer,https://github.com/mazpie/choreographer,MIT,2023-02-22 00:15:22,2024-06-18 13:42:28,2024-06-18 13:42:28,2,,5.0,1.0,,1.0,,42,,,,,,[ICLR 2023] Choreographer: a world-model-based agent that discovers and learns unsupervised skills in latent..,,,,5,False,others,3.0,,
178,mastering-urlb,mazpie/mastering-urlb,https://github.com/mazpie/mastering-urlb,https://github.com/mazpie/mastering-urlb,MIT,2023-07-11 08:58:00,2024-02-27 22:29:49,2024-02-27 22:29:49,6,,4.0,1.0,1.0,,3.0,41,,,,,,"[ICML 2023] Pre-train world model-based agents with different unsupervised strategies, fine-tune the agents components..",,,2.0,5,False,others,3.0,,
